Country,Mobile,Broadband,GDP_Growth,Education,Urbanization
West Bank and Gaza,76.5666403406424,7.93673083556539,4.08276027347105,90.1364802874113,86.5961423216016
Viet Nam,137.852422819653,21.3681380805533,8.53750046755788,93.4123434096522,37.5478515625
"Venezuela, RB",66.4667731210739,9.58036143387288,8.00091310654791,96.7906723022461,89.2132204732836
Vanuatu,81.6202730589115,1.1263520377197,5.18622862422562,81.9551276325385,22.2541249733107
Uzbekistan,105.471643327627,25.7992232452287,6.00134232203442,97.3779819618405,50.9847412109375
Uruguay,139.828801269747,33.4865565704576,4.48622703072073,121.137930191204,95.4977416992188
United States,108.785640656159,37.4887954801437,2.51237531986017,97.4734878540039,80.0324978239707
United Kingdom,119.833999505569,41.2867157729584,5.14970388522993,113.202857971191,83.0753982997505
United Arab Emirates,195.624592490241,36.8485872897377,7.51448425801082,102.380981445312,85.5147347682487
Tuvalu,98.8590872698158,4.52361889511609,0.677309361438304,92.0868890612878,63.3065768081154
Turkiye,103.720593629066,21.8230372591075,5.44122511322401,116.040176391602,89.0381164550781
Tonga,61.7257858761257,8.17387330781973,-2.12854452405193,96.996718063038,21.147219451842
Thailand,176.22279253783,17.5125815621477,2.58037874709827,88.0661686868399,59.742374420166
Tajikistan,63.8442080716763,0.585196433548591,8.00000033846364,90.888637681585,26.1957126615618
Syrian Arab Republic,78.6567844526885,7.16283326639858,0.732781301861365,39.6268081665039,72.6124992370605
Switzerland,123.971228075124,46.6747503634479,3.04406102969423,103.392356872559,84.9206266284521
Sweden,140.781664517726,40.6093424279832,1.25543620445816,139.406524658203,88.4038576504809
Suriname,149.052255906952,20.0260284612076,2.40622235601218,78.0214761948254,65.8985443115234
St. Vincent and the Grenadines,102.334241420536,28.9967269662701,3.1108330034352,128.182294394971,47.585897833353
St. Lucia,98.6676436534083,13.571912004072,20.3884431828414,87.6844863891602,29.097678526676
St. Kitts and Nevis,116.923933289088,46.7447387013209,10.4804941546807,119.88360814743,31.6156404983167
Sri Lanka,151.72675762805,9.63609972688813,-7.34919301306745,88.1918156520303,19.9877933196367
Spain,123.399528756795,35.7846414290159,6.37031712129601,119.646171569824,79.9548794567814
South Africa,160.728511675754,3.12297476001713,2.05813661692193,104.535066506498,63.4766699210327
Slovenia,126.45918075971,32.0104972135392,2.66850555542486,107.874809265137,55.3377817873563
Slovak Republic,136.029289645522,33.9988127597088,0.544591632137454,92.2043075561523,53.1902831072528
Singapore,173.005291258141,27.5510032505086,4.10800021897151,103.009804103267,100.0
Seychelles,163.429518331448,29.8314239734867,12.7104688902836,76.8818747010999,44.9108209981157
Serbia,129.813149647571,29.3457941392192,2.70347705543654,91.9540023803711,61.9013813540396
Senegal,118.150293497239,1.40365165848276,3.85043193735768,45.3756792066535,53.4435061024348
Saudi Arabia,149.79788255308,41.8230078726101,12.0005874752929,122.158039993668,84.1349430023993
San Marino,120.269873863303,35.7876210032268,7.89844145767604,61.6779239246356,97.1141889380465
Rwanda,80.5952224850433,0.349951615372613,8.16120720872912,44.1547093958443,27.7806702737761
Russian Federation,168.475831268436,24.6345568628262,-1.43588213859842,92.7729443625069,74.8544893625017
Romania,121.14194294167,33.2115600895132,4.18771305104109,83.0334701538086,52.1634832477272
Qatar,162.248539735277,12.6414412670206,4.18497018544697,102.968360766419,99.243997525719
Portugal,122.80130896654,42.937003513367,6.98584137580278,120.926139831543,61.1259255772782
Poland,137.002148115476,23.8373449056172,5.25545697386036,108.48217010498,59.8315488048321
Philippines,147.428926406785,7.63946525096298,7.58098212785563,92.291271176651,54.7902343568327
Peru,124.119322949561,9.45023631953673,2.8090335533015,103.591468811035,84.3663554951194
